form	wsafter	testid
ellenére	" "	.
-	" "	.
egyszer	" "	.
mégiscsak	" "	.
be	" "	p1
kellett	" "	.
vallanunk	" "	v1
.	"\n"	.

Gondoljuk	" "	v1
csak	" "	.
el	" "	p1
-	" "	.
Adyt	" "	.
idézve	" "	.
-,	" "	.
hogy	" "	.
a	" "	.
nagy	" "	.
vallási	" "	.
háborúságok	" "	.
idején	" "	.
Ázsia	" "	.
peremén	" "	.
akadt	" "	.
egy	" "	.
töredék	" "	.
ország	""	.
,	" "	.
amely	" "	.
ki	" "	p2
merte	" "	.
jelenteni	" "	v2
,	" "	.
hogy	" "	.
az	" "	.
embereknek	" "	.
a	" "	.
hite	" "	.
az	" "	.
ő	" "	.
külön	" "	.
dolguk	""	.
.	"\n"	.

Az	" "	.
például	" "	.
meg	" "	p1
sem	" "	.
fordult	" "	v1
az	" "	.
agyunkban	""	.
,	" "	.
hogy	" "	.
százmilliók	" "	.
lelki	" "	.
kiüresedése	""	.
,	" "	.
elfáradása	""	.
,	" "	.
undora	" "	.
anélkül	" "	.
is	""	.
,	" "	.
hogy	" "	.
ennek	" "	.
a	" "	.
folyamatnak	" "	.
neve	" "	.
volna	""	.
,	" "	.
nagyobb	" "	.
hatású	" "	.
forradalom	" "	.
lehet	""	.
,	" "	.
mint	" "	.
amilyen	" "	.
a	" "	.
Nagy	" "	.
Októberi	" "	.
volt	" "	.
vagy	" "	.
1956	""	.
,	" "	.
illetve	" "	.
1968	""	.
.	"\n"	.

És	" "	.
már	" "	.
húzta	" "	v1
is	" "	.
fel	" "	p1
a	" "	.
gipszlábát	""	.
.	"\n"	.

-	" "	.
Meg	" "	p1
akart	" "	.
torolni	" "	v1
valamit	""	.
,	" "	.
de	" "	.
kizökkentettem	" "	.
a	" "	.
lelki	" "	.
egyensúlyából	""	.
!	"\n"	.

-	" "	.
Hogy	" "	.
láttad	""	.
,	" "	.
te	" "	.
locsifecsi	""	.
?	" "	.

Be	" "	p1
volt	" "	.
kötve	" "	v1
a	" "	.
szemed	""	.
!	"\n"	.

Féltettem	" "	.
is	""	.
,	" "	.
s	" "	.
ki	" "	p1
akartam	" "	.
vetni	" "	v1
magamból	" "	.
minden	" "	.
mást	""	.
,	" "	.
szégyenkezve	" "	.
gondoltam	" "	.
apám	" "	.
sokarcú	" "	.
életére	""	.
...	"\n"	.

"	" "	.
Mutasd	" "	.
csak	" "	.
a	" "	.
szemüvegedet	" "	.
"	""	.
,	" "	.
odanyúlt	""	.
,	" "	.
el	" "	p1
akartam	" "	.
kapni	" "	v1
a	" "	.
fejem	""	.
,	" "	.
azután	" "	.
mégsem	" "	.
mozdultam	""	.
.	"\n"	.

Fölidézte	" "	v1
magában	" "	.
Veron	" "	.
jobbjának	" "	.
barátságos	" "	.
szorítását	""	.
,	" "	.
hangjának	" "	.
zengését	""	.
,	" "	.
derűs	" "	.
szemének	" "	.
biztató	" "	.
csillámát	" "	.
és	" "	.
jó	" "	.
mosolyát	""	.
,	" "	.
föl	" "	p1
a	" "	.
mély	" "	.
beszélgetéseket	""	.
,	" "	.
amikor	" "	.
már	" "	.
azt	" "	.
hitte	" "	.
István	""	.
,	" "	.
elmondott	" "	.
mindent	""	.
,	" "	.
s	" "	.
Veron	" "	.
halkan	" "	.
kérdezni	" "	.
kezdett	""	.
,	" "	.
aprók	""	.
,	" "	.
szinte	" "	.
tőmondatosak	" "	.
voltak	" "	.
a	" "	.
kérdései	""	.
,	" "	.
amelyekből	" "	.
azonban	" "	.
kiderült	""	.
,	" "	.
hogy	" "	.
mégse	" "	.
mondott	" "	v2
István	" "	.
el	" "	p2
mindent	""	.
,	" "	.
a	" "	.
kérdések	" "	.
s	" "	.
megjegyzések	" "	.
szavai	" "	.
át-	" "	p3
meg	" "	.
átjárták	" "	v3
az	" "	.
elmondottak	" "	.
homályos	" "	.
zugait	""	.
,	" "	.
s	" "	.
aztán	" "	.
Veron	" "	.
magyarázni	" "	.
kezdett	""	.
,	" "	.
megmagyarázta	""	.
:	" "	.
mit	" "	.
látott	" "	.
István	""	.
,	" "	.
és	" "	.
miért	" "	.
látta	""	.
,	" "	.
amit	" "	.
látott	""	.
,	" "	.
olyannak	""	.
,	" "	.
amilyennek	""	.
.	"\n"	.

Ilyen	" "	.
szarságért	" "	.
be	" "	p1
nem	" "	.
zárják	" "	v1
.	"\n"	.

Lehetne	" "	.
például	" "	.
örülni	" "	.
annak	""	.
,	" "	.
hogy	" "	.
milyen	" "	.
nagy	" "	.
tisztelői	" "	.
vagyunk	" "	.
a	" "	.
vallásnak	""	.
,	" "	.
jelen	" "	.
esetben	" "	.
a	" "	.
mohamedán	" "	.
hitnek	""	.
.	" "	.

Meg	" "	p1
lehetne	" "	.
kérdezni	" "	v1
:	" "	.
egy	" "	.
ország	" "	.
megszállása	" "	.
és	" "	.
önvédelmi	" "	.
harca	" "	.
esetében	" "	.
csakugyan	" "	.
olyan	" "	.
lovagias	" "	.
képlet	" "	.
szerint	" "	.
folyik	" "	.
a	" "	.
játszma	""	.
,	" "	.
hogy	" "	.
katona	" "	.
áll	" "	.
szemben	" "	.
katonával	" "	.
stb	""	.
?	"\n"	.

Sz.	""	.
:	" "	.
Engem	" "	.
azért	" "	.
egy	" "	.
kicsit	" "	.
megrázott	" "	.
előbb	""	.
,	" "	.
amikor	" "	.
azt	" "	.
mondta	""	.
,	" "	.
hogy	" "	.
a	" "	.
pszichológiai	" "	.
bizonyítás	" "	.
annak	" "	.
ellenében	""	.
,	" "	.
hogy	" "	.
Petőfi	" "	.
Szibériában	" "	.
nyugodnék	""	.
,	" "	.
nem	" "	.
fogadható	" "	v1
el	" "	p1
.	"\n"	.

Ilyen	" "	.
elméleti	" "	.
útmutatások	" "	.
birtokában	" "	.
a	" "	.
magyar	" "	.
kommunisták	" "	.
teoretikusai	" "	.
természetesen	" "	.
erélyesen	" "	.
védték	" "	.
a	" "	.
Horthy-rendszerben	" "	.
elnyomott	" "	.
S.-ot	""	.
,	" "	.
amikor	" "	.
még	" "	.
az	" "	.
is	" "	.
előfordult	""	.
,	" "	.
hogy	" "	.
Illyés	" "	.
Gyulát	" "	.
egy	" "	.
vagy	" "	.
két	" "	.
napra	" "	.
le	" "	p1
is	" "	.
tartóztatták	" "	v1
izgatás	" "	.
címén	""	.
.	"\n"	.

Aki	" "	.
valamely	" "	.
köztársaságot	" "	.
alapít	""	.
,	" "	.
el	" "	p1
kell	" "	.
rendelnie	" "	v1
,	" "	.
hogy	" "	.
szabad	" "	.
legyen	" "	.
bevádolni	" "	.
minden	" "	.
polgárt	""	.
,	" "	.
minden	" "	.
félelem	" "	.
és	" "	.
gyanakvás	" "	.
nélkül	""	.
.	"\n"	.

Rákosiék	" "	.
Marxtól	" "	.
csak	" "	.
annyit	" "	.
vettek	" "	.
át	""	.
,	" "	.
hogy	" "	.
a	" "	.
kispolgár	" "	.
reakciós	" "	.
-	" "	.
s	" "	.
ennek	" "	.
megfelelően	" "	.
mindent	" "	.
meg	" "	p1
is	" "	.
tettek	" "	v1
annak	" "	.
érdekében	""	.
,	" "	.
hogy	" "	.
reakcióssá	" "	.
tegyék	""	.
...	"\n"	.

Hogy	" "	.
ez	" "	.
tegnap	" "	.
még	" "	.
egy	" "	.
öntelt	""	.
,	" "	.
ifjú	" "	.
nő	" "	.
volt	" "	.
-	" "	.
s	" "	.
őt	" "	.
búcsúztatják	" "	v1
ma	" "	.
el	" "	p1
?	"\n"	.

Érdekes	" "	.
írások	" "	.
voltak	" "	.
ezek	""	.
,	" "	.
de	" "	.
valahogy	" "	.
hiányzott	" "	.
belőlük	" "	.
a	" "	.
meggyőződés	" "	.
lüktetése	""	.
.	" "	.

Meg	" "	p1
kell	" "	.
végre	" "	.
hallani	" "	v1
a	" "	.
kor	" "	.
szavát	""	.
,	" "	.
Fokos	" "	.
kolléga	""	.
!	"\n"	.

Felhívást	" "	.
kell	" "	.
készíteni	" "	.
a	" "	.
Minisztertanács	" "	.
nevében	""	.
,	" "	.
ezt	" "	.
igen	" "	.
gondosan	" "	.
kell	" "	.
megírni	""	.
,	" "	.
mint	" "	.
az	" "	.
események	" "	.
utáni	" "	.
első	" "	.
kormánydokumentumot	""	.
...	""	.
,	" "	.
mert	" "	.
az	" "	.
egész	" "	.
világ	" "	.
fel	" "	p1
fog	" "	.
figyelni	" "	v1
rá	""	.
.	"\n"	.

Pongrácz	" "	.
Gergely	" "	.
aznap	" "	.
érkezett	" "	.
a	" "	.
Corvin	" "	.
közbe	""	.
,	" "	.
Angyal	" "	.
István	" "	.
még	" "	.
meg	" "	p1
sem	" "	.
alakította	" "	v1
csoportját	""	.
.	"\n"	.

Taxi	""	.
,	" "	.
haza	""	.
,	" "	.
néhány	" "	.
ruhadarab	""	.
,	" "	.
fogkefe	""	.
,	" "	.
miegymás	""	.
,	" "	.
be	" "	p0
a	" "	.
bőröndbe	" "	.
mindent	""	.
,	" "	.
kezembe	" "	.
az	" "	.
aktatáskát	""	.
,	" "	.
taxi	""	.
,	" "	.
rohanok	" "	.
a	" "	.
pályaudvarra	""	.
,	" "	.
épp	" "	.
hogy	" "	.
elérem	" "	.
a	" "	.
vonatot	""	.
,	" "	.
a	" "	.
vonat	" "	.
máris	" "	.
indul	""	.
,	" "	.
mintha	" "	.
csak	" "	.
rám	" "	.
várt	" "	.
volna	""	.
,	" "	.
nyúlok	" "	.
a	" "	.
zsebembe	""	.
,	" "	.
rá	" "	p1
akarok	" "	.
gyújtani	" "	v1
,	" "	.
erős	" "	.
dohányos	" "	.
vagyok	""	.
,	" "	.
elnök	" "	.
elvtárs	""	.
,	" "	.
ez	" "	.
az	" "	.
egyetlen	" "	.
szenvedélyem	""	.
,	" "	.
nem	" "	.
jó	" "	.
szenvedély	""	.
,	" "	.
belátom	""	.
,	" "	.
nem	" "	.
hasznos	""	.
,	" "	.
de	" "	.
aki	" "	.
annyit	" "	.
dolgozik	""	.
,	" "	.
mint	" "	.
mi	""	.
,	" "	.
ezt	" "	.
szokta	" "	.
mondani	" "	.
Kalácska	" "	.
elvtárs	""	.
,	" "	.
aki	" "	.
annyit	" "	.
dolgozik	""	.
,	" "	.
az	" "	.
legalább	" "	.
egyetlen	" "	.
szenvedélyt	" "	.
megengedhet	" "	.
magának	""	.
,	" "	.
hiszen	" "	.
a	" "	.
nép	" "	.
szolgálata	" "	.
nem	" "	.
aszkétákat	" "	.
követel	""	.
,	" "	.
nem	" "	.
szerzeteseket	""	.
,	" "	.
ezt	" "	.
már	" "	.
rég	" "	.
túlhaladtuk	""	.
,	" "	.
szokta	" "	.
mondani	" "	.
Kalácska	" "	.
elvtárs	""	.
.	"\n"	.

-	" "	.
Át	" "	p1
vannak	" "	.
itatva	" "	v1
...	"\n"	.

Az	" "	.
emberek	" "	.
meg	" "	.
imbolyogtak	" "	.
az	" "	.
új	" "	.
szelekben	""	.
,	" "	.
látni	" "	.
lehetett	""	.
,	" "	.
hogy	" "	.
igyekeznek	" "	.
egymás	" "	.
segítségére	""	.
,	" "	.
hogy	" "	.
végig	" "	p1
ne	" "	.
vágódjanak	" "	v1
a	" "	.
hatalmas	" "	.
sártócsákban	""	.
.	"\n"	.

De	" "	.
csak	" "	.
meg	" "	p1
kell	" "	.
találnunk	" "	v1
.	"\n"	.

Vegye	" "	.
meg	" "	.
ezt	""	.
,	" "	.
Ferdi	" "	.
bácsi	" "	.
-	" "	.
húzta	" "	.
ki	" "	.
Ildi	" "	.
a	" "	.
hóna	" "	.
alól	""	.
,	" "	.
hogy	" "	.
odamutassa	""	.
,	" "	.
Nadragulyevác	" "	.
Szávó	" "	.
üstökös	" "	.
életű	" "	.
költőnk	" "	.
örök	" "	.
érvényű	" "	.
tankölteményeinek	" "	.
öt	" "	.
egyforma	" "	.
kötetét	""	.
,	" "	.
és	" "	.
elé	" "	.
nyújtotta	""	.
,	" "	.
futószalagon	" "	.
(	""	.
Aranyos	" "	.
Reske	" "	.
csak	" "	.
távolabbi	" "	.
szemlélője	" "	.
volt	" "	.
a	" "	.
jelenetnek	""	.
,	" "	.
a	" "	.
be	" "	p1
nem	" "	.
avatkozás	" "	v1
elve	" "	.
alapján	""	.
)	""	.
.	"\n"	.

Nehezen	" "	.
képzelhető	" "	v1
el	" "	p1
;	" "	.
de	" "	.
akkor	" "	.
is	""	.
,	" "	.
mi	" "	.
volt	" "	.
a	" "	.
formája	""	.
?	"\n"	.

Semmi	" "	.
olyat	" "	.
nem	" "	.
mondtam	""	.
,	" "	.
amit	" "	.
az	" "	.
ön	" "	.
jelenlétében	" "	.
is	" "	.
meg	" "	p1
ne	" "	.
ismételhetnék	" "	v1
.	"\n"	.

Nem	" "	.
akarnak	" "	.
egyéni	" "	.
érzelmeimben	" "	.
befolyásolni	""	.
,	" "	.
de	" "	.
itt	" "	.
nem	" "	.
érzelmekről	""	.
,	" "	.
hanem	" "	.
elvekről	" "	.
és	" "	.
tényekről	" "	.
van	" "	.
szó	""	.
,	" "	.
és	" "	.
ha	" "	.
igazán	" "	.
az	" "	.
eszmélő	" "	.
nép	""	.
,	" "	.
a	" "	.
"	" "	.
népünk	" "	.
"	""	.
,	" "	.
valamint	" "	.
"	" "	.
a	" "	.
költészet	""	.
,	" "	.
a	" "	.
tiszta	" "	.
szellem	" "	.
"	" "	.
mellé	" "	.
akarok	" "	.
állni	""	.
,	" "	.
el	" "	p1
kell	" "	.
fogadnom	" "	v1
a	" "	.
nagy	" "	.
Petényi	" "	.
ujjmutatását	""	.
,	" "	.
aki	" "	.
Réti	" "	.
Palit	" "	.
már	" "	.
negyvennégy	" "	.
nyarán	""	.
,	" "	.
londoni	" "	.
emigrációjában	""	.
,	" "	.
könyörtelenül	" "	.
az	" "	.
árulók	" "	.
közé	" "	.
taszította	""	.
.	"\n"	.

Lépek	" "	.
s	" "	.
kiáltok	""	.
.	" "	.

S	" "	.
zajongok	""	.
,	" "	.
amig	" "	.
Egy	" "	.
röggel	" "	.
be	" "	p1
nem	" "	.
tömik	" "	v1
szájamat	""	.
.	"\n"	.

Egyik-másik	" "	.
annyi	" "	.
tiszteletlenséget	""	.
,	" "	.
izgatást	""	.
,	" "	.
szemérmetlen	" "	.
(	""	.
a	" "	.
való	" "	.
tényeknek	" "	.
egyáltalában	" "	.
meg	" "	p1
nem	" "	.
felelő	" "	v1
)	" "	.
önleleplezést	" "	.
tartalmazott	""	.
,	" "	.
hogy	" "	.
ezekért	" "	.
nem	" "	.
is	" "	.
vállalhattam	" "	.
a	" "	.
felelősséget	" "	.
egy	" "	.
olyan	""	.
,	" "	.
eléggé	" "	.
el	" "	p2
nem	" "	.
ítélhető	" "	v2
jogrendszerben	""	.
,	" "	.
amely	" "	.
ilyesmiért	" "	.
nem	" "	.
a	" "	.
korszellem	" "	.
és	" "	.
az	" "	.
örök	" "	.
szellem	" "	.
közös	" "	.
leányát	""	.
,	" "	.
a	" "	.
Múzsát	""	.
,	" "	.
hanem	" "	.
bűnös	" "	.
hanyagsággal	" "	.
a	" "	.
költőt	" "	.
vonja	" "	.
perbe	""	.
.	"\n"	.

Egy	" "	.
portugál	" "	.
bölcselő	" "	.
szerint	""	.
,	" "	.
ha	" "	.
egy	" "	.
rétegtől	" "	.
munkaerőt	""	.
,	" "	.
terményt	""	.
,	" "	.
mindent	" "	.
olcsón	" "	.
meg	" "	p1
lehet	" "	.
kapni	" "	v1
,	" "	.
a	" "	.
vásárlók	" "	.
eszmevilága	" "	.
szükségszerűen	" "	.
úgy	" "	.
alakul	""	.
,	" "	.
hogy	" "	.
el	" "	p2
sem	" "	.
tudják	" "	.
képzelni	" "	v2
:	" "	.
rendkívülinek	""	.
,	" "	.
sőt	" "	.
afféle	" "	.
szerződésszegésnek	" "	.
érzik	""	.
,	" "	.
ha	" "	.
valami	" "	.
mégsem	" "	.
olcsó	""	.
,	" "	.
vagy	" "	.
kiváltképp	" "	.
nem	" "	.
kapható	""	.
.	"\n"	.

Ti	" "	.
fogjátok	" "	.
tudtául	" "	.
adni	""	.
,	" "	.
hogy	" "	.
Kolozsvár	" "	.
felett	" "	.
zivatar	" "	.
vonul	""	.
,	" "	.
s	" "	.
nedveteknek	" "	.
hirtelen	" "	.
újjáéledése	" "	.
jelenti	" "	.
meg	" "	.
a	" "	.
mélyen	" "	.
alvónak	" "	.
és	" "	.
fel	" "	p1
nem	" "	.
ébredőnek	" "	v1
az	" "	.
újdonatúj	" "	.
tavaszt	""	.
.	"\n"	.

De	" "	.
ez	" "	.
is	" "	.
elég	" "	.
volt	" "	.
ahhoz	""	.
,	" "	.
hogy	" "	.
az	" "	.
öregember	" "	.
el-elszoruló	" "	.
szívvel	" "	.
induljon	" "	.
lefelé	" "	.
a	" "	.
meredek	" "	.
kerten	" "	.
át	""	.
,	" "	.
s	" "	.
meg	" "	p1
se	" "	.
álljon	" "	v1
az	" "	.
íróasztaláig	""	.
.	"\n"	.

Mintha	" "	.
valakiket	" "	.
megleptem	" "	.
volna	" "	.
itt	""	.
,	" "	.
kik	" "	.
test	" "	.
szerint	" "	.
bár	" "	.
láthatatlanok	""	.
,	" "	.
azóta	" "	.
súlyosabban	" "	.
itt	" "	.
lakoznak	""	.
,	" "	.
mióta	" "	.
szemmel	" "	.
fel	" "	p1
nem	" "	.
foghatók	" "	v1
.	"\n"	.

Anya	" "	.
jópofa	" "	.
volt	""	.
.	" "	.

Meg	" "	p1
kell	" "	.
hagyni	" "	v1
.	"\n"	.

Egyszerre	""	.
...	" "	.
rétegesen	""	.
...	" "	.
az	" "	.
egymásutániság	" "	.
csapdája	""	.
,	" "	.
ha	" "	.
le	" "	p1
akarnám	" "	.
írni	" "	v1
...	" "	.
ha	" "	.
valamelyik	" "	.
firkász	" "	.
venné	" "	.
a	" "	.
bátorságot	" "	.
és	" "	.
összerendezné	""	.
...	" "	.
kikerekítgetné	" "	.
szépen	""	.
...	" "	.
a	" "	.
vázlatot	""	.
...	" "	.
a	" "	.
részleteket	""	.
...	" "	.
öntelten	" "	.
kukorékolná	""	.
,	" "	.
mint	" "	.
a	" "	.
kakas	" "	.
a	" "	.
szemétdombon	""	.
,	" "	.
"	" "	.
nézzétek	""	.
,	" "	.
emberek	""	.
,	" "	.
ez	" "	.
az	" "	.
én	" "	.
művem	""	.
,	" "	.
ezt	" "	.
mind	" "	.
én	" "	.
csináltam	""	.
,	" "	.
egyes-egyedül	""	.
,	" "	.
tőlem	" "	.
kelt	" "	.
fel	" "	.
az	" "	.
Isten	" "	.
napja	""	.
...	" "	.

"	"\n"	.
Amit	" "	.
fel	" "	p1
lehet	" "	.
ragasztani	" "	v1
.	"\n"	.

És	" "	.
hogy	" "	.
meg	" "	p1
tetszett	" "	.
tiltani	" "	v1
neki	""	.
,	" "	.
hogyha	" "	.
én	" "	.
otthon	" "	.
felejtem	" "	.
valamimet	""	.
,	" "	.
ő	" "	.
kölcsönadja	""	.
...	"\n"	.

Nem	" "	.
is	" "	.
volt	" "	.
botrány	" "	.
voltaképpen	""	.
,	" "	.
mert	" "	.
a	" "	.
fürdőzők	" "	.
s	" "	.
úszómesterek	" "	.
egyaránt	" "	.
hazamentek	""	.
,	" "	.
csak	" "	.
két	" "	.
három	" "	.
elkésett	" "	.
látogató	" "	.
csavarta	" "	.
ki	" "	.
vizes	" "	.
fürdőruháját	""	.
,	" "	.
megállva	" "	.
a	" "	.
medence	" "	.
kőszegélyén	""	.
.	" "	.

Mint	" "	.
később	" "	.
állították	""	.
,	" "	.
nem	" "	.
hittek	" "	.
a	" "	.
saját	" "	.
szemüknek	""	.
,	" "	.
megpillantva	" "	.
a	" "	.
szürkületben	" "	.
a	" "	.
meztelen	" "	.
alakokat	""	.
.	" "	.

Azt	" "	.
képzelték	""	.
,	" "	.
érzékcsalódás	" "	.
áldozatai	" "	.
lettek	""	.
,	" "	.
avagy	" "	.
talán	" "	.
a	" "	.
délibáb	" "	.
Egerbe	" "	.
költözött	" "	.
a	" "	.
Hortobágyról	""	.
.	" "	.

Mikor	" "	.
pedig	" "	.
rá	" "	p1
kellett	" "	.
jönniük	" "	v1
,	" "	.
hogy	" "	.
nem	" "	.
káprázik	" "	.
a	" "	.
szemük	""	.
,	" "	.
lóhalálában	" "	.
elhagyták	" "	.
a	" "	.
fürdőt	""	.
.	"\n"	.

Hol	" "	.
elöl	""	.
,	" "	.
hol	" "	.
hátul	" "	.
ültek	" "	.
egyre	" "	.
többen	""	.
,	" "	.
s	" "	.
a	" "	.
hó	" "	.
nőtt	" "	.
akkorára	""	.
,	" "	.
hogy	" "	.
ha	" "	.
meg	" "	p1
nem	" "	.
lett	" "	.
volna	" "	.
fagyva	" "	v1
,	" "	.
ki	" "	p2
sem	" "	.
látszik	" "	v2
belőle	" "	.
az	" "	.
